patient_id,model,seed,scenario,split,ckpt,dice,recall,hd95,pred_voxels,gt_voxels,pred_empty,gt_empty,complete_miss,hd95_failed,both_empty,seconds,peak_gpu_gb
BraTS20_Training_037,A,0,C0,val,best.pt,0.901608398178914,0.8376814047859649,4.0,162208,189011,False,False,False,False,False,0.6179735660552979,6.93477376
BraTS20_Training_037,A,0,C1,val,best.pt,0.9120512365550514,0.8566485548460142,3.605551275463989,166048,189011,False,False,False,False,False,0.37330198287963867,6.93477376
BraTS20_Training_037,A,0,C2,val,best.pt,0.9155115530053511,0.8639867520937935,3.605551275463989,167736,189011,False,False,False,False,False,0.37230443954467773,6.93477376
BraTS20_Training_063,A,0,C0,val,best.pt,0.8878055673307899,0.9336503454937217,22.045407685048602,14849,13459,False,False,False,False,False,0.3918952941894531,6.93477376
BraTS20_Training_063,A,0,C1,val,best.pt,0.8983506760104764,0.9429378111300988,3.7416573867739413,14795,13459,False,False,False,False,False,0.373323917388916,6.93477376
BraTS20_Training_063,A,0,C2,val,best.pt,0.8971739512023872,0.9494018872130173,3.1622776601683795,15026,13459,False,False,False,False,False,0.3744521141052246,6.93477376
BraTS20_Training_065,A,0,C0,val,best.pt,0.7048032320814006,0.9437387297134843,36.87817782917155,41875,24955,False,False,False,False,False,0.3735942840576172,6.93477376
BraTS20_Training_065,A,0,C1,val,best.pt,0.692943438880815,0.945782408335003,38.28837943815329,43166,24955,False,False,False,False,False,0.37281322479248047,6.93477376
BraTS20_Training_065,A,0,C2,val,best.pt,0.6862569799651185,0.9381687036665999,38.06573262134856,43276,24955,False,False,False,False,False,0.3721957206726074,6.93477376
BraTS20_Training_122,A,0,C0,val,best.pt,0.9364994026284349,0.9452517334941212,2.0,16895,16585,False,False,False,False,False,0.3760507106781006,6.93477376
BraTS20_Training_122,A,0,C1,val,best.pt,0.9429223744292238,0.9462767561049141,1.7320508075688772,16703,16585,False,False,False,False,False,0.3730149269104004,6.93477376
BraTS20_Training_122,A,0,C2,val,best.pt,0.941443459046254,0.950497437443473,1.4142135623730951,16904,16585,False,False,False,False,False,0.37247681617736816,6.93477376
BraTS20_Training_125,A,0,C0,val,best.pt,0.9677006966004853,0.9806920712562383,1.4142135623730951,155347,151285,False,False,False,False,False,0.37300634384155273,6.93477376
BraTS20_Training_125,A,0,C1,val,best.pt,0.9657415983811574,0.9889810622335328,1.4142135623730951,158566,151285,False,False,False,False,False,0.3726990222930908,6.93477376
BraTS20_Training_125,A,0,C2,val,best.pt,0.9589844124164266,0.9926694649172092,1.7320508075688772,161913,151285,False,False,False,False,False,0.37625551223754883,6.93477376
BraTS20_Training_136,A,0,C0,val,best.pt,0.8700539052643652,0.8693132520258656,3.1622776601683795,60981,61085,False,False,False,False,False,0.3733196258544922,6.93477376
BraTS20_Training_136,A,0,C1,val,best.pt,0.8704738207336212,0.876238028976017,3.0,61894,61085,False,False,False,False,False,0.37273192405700684,6.93477376
BraTS20_Training_136,A,0,C2,val,best.pt,0.8686016091613604,0.8642219857575509,3.0,60469,61085,False,False,False,False,False,0.37247800827026367,6.93477376
BraTS20_Training_160,A,0,C0,val,best.pt,0.8979781862506507,0.8300003129596595,15.652475842498529,108461,127812,False,False,False,False,False,0.37368106842041016,6.93477376
BraTS20_Training_160,A,0,C1,val,best.pt,0.8972198784473122,0.8194926923919507,12.96148139681572,105667,127812,False,False,False,False,False,0.37286949157714844,6.93477376
BraTS20_Training_160,A,0,C2,val,best.pt,0.8988645749966832,0.82162081807655,12.806248474865697,105845,127812,False,False,False,False,False,0.3725016117095947,6.93477376
BraTS20_Training_169,A,0,C0,val,best.pt,0.8944132900451153,0.9507179864111436,20.639767440550294,62804,55781,False,False,False,False,False,0.37389707565307617,6.93477376
BraTS20_Training_169,A,0,C1,val,best.pt,0.8493963816339498,0.910686434449006,20.639767440550294,63831,55781,False,False,False,False,False,0.37287163734436035,6.93477376
BraTS20_Training_169,A,0,C2,val,best.pt,0.8035787288908456,0.9161901005718793,23.600847442411894,71415,55781,False,False,False,False,False,0.3764333724975586,6.93477376
BraTS20_Training_204,A,0,C0,val,best.pt,0.6819489927557805,0.5403931847968545,64.07027391856539,11156,19075,False,False,False,False,False,0.3731861114501953,6.93477376
BraTS20_Training_204,A,0,C1,val,best.pt,0.6462568763453719,0.49577981651376146,66.15473802656682,10192,19075,False,False,False,False,False,0.3728363513946533,6.93477376
BraTS20_Training_204,A,0,C2,val,best.pt,0.6480850483848984,0.4985583224115334,60.41852918029548,10273,19075,False,False,False,False,False,0.3725144863128662,6.93477376
BraTS20_Training_208,A,0,C0,val,best.pt,0.9427415234079043,0.9661369928975563,2.8284271247461903,174386,166140,False,False,False,False,False,0.3726656436920166,6.93477376
BraTS20_Training_208,A,0,C1,val,best.pt,0.9355130952834697,0.9602804863368244,2.8284271247461903,174937,166140,False,False,False,False,False,0.3727397918701172,6.93477376
BraTS20_Training_208,A,0,C2,val,best.pt,0.9333501426347407,0.95807150595883,2.8284271247461903,174941,166140,False,False,False,False,False,0.37592029571533203,6.93477376
BraTS20_Training_219,A,0,C0,val,best.pt,0.8982207934281438,0.8659256191930433,8.12403840463596,71721,77278,False,False,False,False,False,0.3734433650970459,6.93477376
BraTS20_Training_219,A,0,C1,val,best.pt,0.9041686120189422,0.8771060327648231,8.06225774829855,72652,77278,False,False,False,False,False,0.3733665943145752,6.93477376
BraTS20_Training_219,A,0,C2,val,best.pt,0.8831915201409802,0.8690312896296488,7.810249675906654,74800,77278,False,False,False,False,False,0.37326598167419434,6.93477376
BraTS20_Training_225,A,0,C0,val,best.pt,0.9360377940300686,0.9645570357146322,27.202941017470888,218695,206134,False,False,False,False,False,0.3732461929321289,6.93477376
BraTS20_Training_225,A,0,C1,val,best.pt,0.9256034513495205,0.944545780899803,26.645825188948457,214571,206134,False,False,False,False,False,0.37562036514282227,6.93477376
BraTS20_Training_225,A,0,C2,val,best.pt,0.9274114857571144,0.9544374047949392,26.49528259898354,218148,206134,False,False,False,False,False,0.37299156188964844,6.93477376
BraTS20_Training_234,A,0,C0,val,best.pt,0.8175540002553477,0.8930389416097725,31.448370387032774,186879,157749,False,False,False,False,False,0.3732774257659912,6.93477376
BraTS20_Training_234,A,0,C1,val,best.pt,0.8043999322557404,0.8882084830965647,35.37159841639278,190620,157749,False,False,False,False,False,0.3734748363494873,6.93477376
BraTS20_Training_234,A,0,C2,val,best.pt,0.8187667151503777,0.8849691598678914,29.49576240750525,183259,157749,False,False,False,False,False,0.3729517459869385,6.93477376
BraTS20_Training_244,A,0,C0,val,best.pt,0.9481549759226815,0.9351086869335045,2.23606797749979,145487,149604,False,False,False,False,False,0.3731958866119385,6.93477376
BraTS20_Training_244,A,0,C1,val,best.pt,0.9454869565514344,0.9253295366434052,2.23606797749979,143225,149604,False,False,False,False,False,0.3731095790863037,6.93477376
BraTS20_Training_244,A,0,C2,val,best.pt,0.9469184133974934,0.9312718911259057,2.23606797749979,144660,149604,False,False,False,False,False,0.3729243278503418,6.93477376
BraTS20_Training_247,A,0,C0,val,best.pt,0.8936168523671352,0.815379823398599,5.385164807134504,113878,138051,False,False,False,False,False,0.3737504482269287,6.93477376
BraTS20_Training_247,A,0,C1,val,best.pt,0.8915141058819771,0.8084983085960985,5.0990195135927845,112341,138051,False,False,False,False,False,0.3766152858734131,6.93477376
BraTS20_Training_247,A,0,C2,val,best.pt,0.8951025560364909,0.814148394433941,5.477225575051661,113080,138051,False,False,False,False,False,0.3723587989807129,6.93477376
BraTS20_Training_255,A,0,C0,val,best.pt,0.9680748398615149,0.9809855022858959,1.4142135623730951,167976,163612,False,False,False,False,False,0.37579941749572754,6.93477376
BraTS20_Training_255,A,0,C1,val,best.pt,0.9644039659729957,0.9711207001931399,1.7320508075688772,165891,163612,False,False,False,False,False,0.37271857261657715,6.93477376
BraTS20_Training_255,A,0,C2,val,best.pt,0.9625229623900222,0.9735593966212748,1.7320508075688772,167364,163612,False,False,False,False,False,0.3726963996887207,6.93477376
BraTS20_Training_270,A,0,C0,val,best.pt,0.9583384322523625,0.9500067394527565,1.4142135623730951,145800,148380,False,False,False,False,False,0.37269115447998047,6.93477376
BraTS20_Training_270,A,0,C1,val,best.pt,0.9514633306161985,0.9400525677315003,2.0,144821,148380,False,False,False,False,False,0.3726069927215576,6.93477376
BraTS20_Training_270,A,0,C2,val,best.pt,0.9524197328935167,0.9379229006604664,2.0,143863,148380,False,False,False,False,False,0.3726804256439209,6.93477376
BraTS20_Training_299,A,0,C0,val,best.pt,0.9635922330097088,0.976247095065665,1.4142135623730951,113934,111018,False,False,False,False,False,0.3732419013977051,6.93477376
BraTS20_Training_299,A,0,C1,val,best.pt,0.96269191628689,0.9799221747824677,1.7320508075688772,114992,111018,False,False,False,False,False,0.3729438781738281,6.93477376
BraTS20_Training_299,A,0,C2,val,best.pt,0.9601341565668114,0.9644021690176368,2.0,112005,111018,False,False,False,False,False,0.37253522872924805,6.93477376
BraTS20_Training_327,A,0,C0,val,best.pt,0.944746033520467,0.9423693042432946,55.513060861244995,182918,183843,False,False,False,False,False,0.3731074333190918,6.93477376
BraTS20_Training_327,A,0,C1,val,best.pt,0.937868223339279,0.9438216304129067,53.85164807134504,186177,183843,False,False,False,False,False,0.37321949005126953,6.93477376
BraTS20_Training_327,A,0,C2,val,best.pt,0.6380131899914092,0.9311477728279021,70.60453243241541,352776,183843,False,False,False,False,False,0.372847318649292,6.93477376
BraTS20_Training_363,A,0,C0,val,best.pt,0.9638038412594072,0.949914447563832,1.4142135623730951,116924,120394,False,False,False,False,False,0.37600207328796387,6.93477376
BraTS20_Training_363,A,0,C1,val,best.pt,0.9538188961214036,0.9256109108427331,2.0,113273,120394,False,False,False,False,False,0.37316298484802246,6.93477376
BraTS20_Training_363,A,0,C2,val,best.pt,0.9575761687116825,0.9379703307473795,2.0,115464,120394,False,False,False,False,False,0.3728001117706299,6.93477376
BraTS20_Training_037,B,0,C0,val,best.pt,0.8612055482325088,0.7967578606536128,5.477225575051661,160722,189011,False,False,False,False,False,5.922455787658691,7.895637504
BraTS20_Training_037,B,0,C1,val,best.pt,0.8642625077524452,0.8036304765331118,5.385164807134504,162491,189011,False,False,False,False,False,5.925036668777466,7.895637504
BraTS20_Training_037,B,0,C2,val,best.pt,0.8684000090102266,0.8158625688451995,5.0990195135927845,166141,189011,False,False,False,False,False,5.926563501358032,7.895637504
BraTS20_Training_063,B,0,C0,val,best.pt,0.7132156390447375,0.9019986626049483,51.59360408180034,20584,13459,False,False,False,False,False,5.92875337600708,7.895637504
BraTS20_Training_063,B,0,C1,val,best.pt,0.6873589164785553,0.904970651608589,54.04627646748664,21981,13459,False,False,False,False,False,5.9311134815216064,7.895637504
BraTS20_Training_063,B,0,C2,val,best.pt,0.6635481910198473,0.9327587487926294,56.19163269077147,24380,13459,False,False,False,False,False,5.933348178863525,7.895637504
BraTS20_Training_065,B,0,C0,val,best.pt,0.618848243390076,0.8558605489881788,18.193405398660254,44070,24955,False,False,False,False,False,5.936244010925293,7.895637504
BraTS20_Training_065,B,0,C1,val,best.pt,0.5970772442588727,0.8595471849328792,18.35755975068582,46895,24955,False,False,False,False,False,5.941619873046875,7.895637504
BraTS20_Training_065,B,0,C2,val,best.pt,0.5734635083226632,0.8614706471648969,18.708286933869708,50021,24955,False,False,False,False,False,5.9326698780059814,7.895637504
BraTS20_Training_122,B,0,C0,val,best.pt,0.6611668456774606,0.8722339463370515,55.5517776493246,27174,16585,False,False,False,False,False,5.935206174850464,7.895637504
BraTS20_Training_122,B,0,C1,val,best.pt,0.6427610541404786,0.8786855592402774,56.66568626602876,28760,16585,False,False,False,False,False,5.932707071304321,7.895637504
BraTS20_Training_122,B,0,C2,val,best.pt,0.6174913887255313,0.8863430810973771,57.5907975422294,31027,16585,False,False,False,False,False,5.933111667633057,7.895637504
BraTS20_Training_125,B,0,C0,val,best.pt,0.8812147516698288,0.8964933734342466,4.123105625617661,156531,151285,False,False,False,False,False,5.940871715545654,7.895637504
BraTS20_Training_125,B,0,C1,val,best.pt,0.8801084815807316,0.9009353207522226,4.123105625617661,158445,151285,False,False,False,False,False,5.937532186508179,7.895637504
BraTS20_Training_125,B,0,C2,val,best.pt,0.880832684725607,0.9126284826651684,4.242640687119285,162207,151285,False,False,False,False,False,5.94476056098938,7.895637504
BraTS20_Training_136,B,0,C0,val,best.pt,0.6666213402456126,0.6420397806335434,15.165750888103101,56580,61085,False,False,False,False,False,5.937171459197998,7.895637504
BraTS20_Training_136,B,0,C1,val,best.pt,0.6628184213828586,0.6485225505443235,15.0,58450,61085,False,False,False,False,False,5.932011365890503,7.895637504
BraTS20_Training_136,B,0,C2,val,best.pt,0.679438546264265,0.6993206188098551,15.352506552493292,64660,61085,False,False,False,False,False,5.933007478713989,7.895637504
BraTS20_Training_160,B,0,C0,val,best.pt,0.868272882582391,0.7932979688918098,20.223748416156685,105739,127812,False,False,False,False,False,5.935129880905151,7.895637504
BraTS20_Training_160,B,0,C1,val,best.pt,0.8671516834194538,0.7917409945857979,20.48413671533497,105582,127812,False,False,False,False,False,5.9396445751190186,7.895637504
BraTS20_Training_160,B,0,C2,val,best.pt,0.872047735240262,0.8067082903013801,21.563858652847824,108659,127812,False,False,False,False,False,5.93501091003418,7.895637504
BraTS20_Training_169,B,0,C0,val,best.pt,0.8479215770302121,0.8513113784263459,45.89117562233506,56227,55781,False,False,False,False,False,5.936321496963501,7.895637504
BraTS20_Training_169,B,0,C1,val,best.pt,0.8554235485542355,0.843530951399222,42.62628297189423,54230,55781,False,False,False,False,False,5.933959484100342,7.895637504
BraTS20_Training_169,B,0,C2,val,best.pt,0.7609581898050122,0.8633405639913232,58.32666628567074,70791,55781,False,False,False,False,False,5.9353415966033936,7.895637504
BraTS20_Training_204,B,0,C0,val,best.pt,0.5518383321416476,0.38437745740498036,6.48074069840786,7498,19075,False,False,False,False,False,5.934034824371338,7.895637504
BraTS20_Training_204,B,0,C1,val,best.pt,0.5484610470141681,0.38254259501965926,7.0,7534,19075,False,False,False,False,False,5.936554670333862,7.895637504
BraTS20_Training_204,B,0,C2,val,best.pt,0.5850076715131146,0.4197640891218873,6.4031242374328485,8299,19075,False,False,False,False,False,5.934526443481445,7.895637504
BraTS20_Training_208,B,0,C0,val,best.pt,0.4913058120779198,0.3336703984591309,14.866068747318506,59528,166140,False,False,False,False,False,5.932546854019165,7.895637504
BraTS20_Training_208,B,0,C1,val,best.pt,0.539172083475881,0.37943902732635126,12.84523257866513,67700,166140,False,False,False,False,False,5.932928085327148,7.895637504
BraTS20_Training_208,B,0,C2,val,best.pt,0.5824925073901118,0.4275731310942579,11.090536506409418,77767,166140,False,False,False,False,False,5.929635286331177,7.895637504
BraTS20_Training_219,B,0,C0,val,best.pt,0.8288260687926473,0.7701803876911928,5.830951894845301,66342,77278,False,False,False,False,False,5.928737163543701,7.895637504
BraTS20_Training_219,B,0,C1,val,best.pt,0.8319972593353888,0.7856699189937628,5.477225575051661,68672,77278,False,False,False,False,False,5.9277894496917725,7.895637504
BraTS20_Training_219,B,0,C2,val,best.pt,0.8060097939247454,0.8285281710189187,8.48528137423857,81596,77278,False,False,False,False,False,5.927341938018799,7.895637504
BraTS20_Training_225,B,0,C0,val,best.pt,0.8892100169042005,0.8791223184918548,5.0,201457,206134,False,False,False,False,False,5.927619695663452,7.895637504
BraTS20_Training_225,B,0,C1,val,best.pt,0.8863431046522416,0.8805340215587919,5.477225575051661,203432,206134,False,False,False,False,False,5.925360918045044,7.895637504
BraTS20_Training_225,B,0,C2,val,best.pt,0.8887841385411983,0.8918324973075766,5.0990195135927845,207548,206134,False,False,False,False,False,5.926418781280518,7.895637504
BraTS20_Training_234,B,0,C0,val,best.pt,0.8981994459833795,0.8386360610843809,3.7416573867739413,136827,157749,False,False,False,False,False,5.927041292190552,7.895637504
BraTS20_Training_234,B,0,C1,val,best.pt,0.9014883680328226,0.8510418449562279,3.7416573867739413,140094,157749,False,False,False,False,False,5.927626132965088,7.895637504
BraTS20_Training_234,B,0,C2,val,best.pt,0.8754772327416237,0.862737640175215,67.08203932499369,153158,157749,False,False,False,False,False,5.927544116973877,7.895637504
BraTS20_Training_244,B,0,C0,val,best.pt,0.8587446822526792,0.8277853533327986,5.0990195135927845,138817,149604,False,False,False,False,False,5.927671909332275,7.895637504
BraTS20_Training_244,B,0,C1,val,best.pt,0.8611843484777131,0.8373038154060052,5.0990195135927845,141307,149604,False,False,False,False,False,5.927044630050659,7.895637504
BraTS20_Training_244,B,0,C2,val,best.pt,0.8630244207889793,0.8475642362503676,5.0990195135927845,144244,149604,False,False,False,False,False,5.927770137786865,7.895637504
BraTS20_Training_247,B,0,C0,val,best.pt,0.816992924430941,0.716800312927831,8.366600265340756,104191,138051,False,False,False,False,False,5.9266676902771,7.895637504
BraTS20_Training_247,B,0,C1,val,best.pt,0.8148856151432667,0.7102085461170147,11.180339887498949,102584,138051,False,False,False,False,False,5.92350959777832,7.895637504
